№ п/п;Дата платежа ;Назначение платежа;Сумма;
139;04.03.2024;"Окончат оплата 50% ООО ""ВИТ"" за имитатор опорной нагрузки подошвенный ""Корвит"" в рамках реализации проекта ""QH Аудандык оңалту орталықтары"", Дог. №09-02-3-11 от 19.01.2024г.";8 801 676;
140;04.03.2024;"Оплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-02-3-28,29 от 20.02.2024";320 283 143;
141;04.03.2024;"Оплата ТОО ""ВИВА Фарм"" за лекарственное  средство - Воксзого
0,56 мг (Восоритид), Договор №09-03-167,168,169,170,171,172 от 29.12.23";240 235 605;
142;06.03.2024;"Окончательная оплата 50% за оборудование для оснащения
Центров раннего вмешательства ТОО ""Suncar Healthcare Ltd"", Договор поставки №ЦРВ/2022-18-10 от 24.03.2023г.";3 946 000;
143;06.03.2024;"Окончательная оплата 50% ТОО ""Medicare International"" за
изготовление протеза голени для заявителя ID 44621";1 750 000;
144;06.03.2024;"Предоплата 50% ИП Максисоль Сервис в рамках реализации проекта ""QH Развитие объектов соц облсуживания СКО"", Дог.
№09-02-3-36,37,38, 39 от 29.02.2024г";4 623 350;
145;06.03.2024;"Оплата за оказание мед.помощи детям с сосудистой патологией  - ОФ ИМЕНИ ""КАРАБЕКОВА АГАБЕКА"", Договор №09-03 от
16.05.22г.";480 000;
146;12.03.2024;"Окончательная оплата 50% ТОО ""TARLAN INTERNATIONAL"" за оборудование в рамках БП ""QH Развитие детской нейрохирургической службы"", Договор №09-02-3-325/7, 10, 11,12
от 01.09.23";52 038 000;
147;12.03.2024;"Оплата ТОО ""MEDICAL CONSULTING GROUP"" за лечение
пациентов  с заболеваниями органов глаза (пересадка роговицы), Договор№09-02-3-17 от 01.02.2024г.";7 212 969;
148;12.03.2024;"Оплата ТОО ""MEDICAL CONSULTING GROUP"" за лечение
пациентов  с заболеваниями органов глаза (пересадка роговицы), Договор №09-02-3-385  от 20.12.2023г.";6 764 000;
149;12.03.2024;"Предоплата 30 % ИП БЕЙБИТОВ за оборудование в рамках БП ""QH Тұсау кесер, 2 этап расширение до 8 регионов"", Договор №11-
02-6-46 от 06.03.2024г.";166 266;
150;12.03.2024;"Предоплата 30 % ИП SPORT TIME за оборудование в рамках БП
""QH 76 детских спортивных залов"", Договор №11-02-6- 40,41,42,43,44,45  от 05.03.24г.";4 487 280;
151;12.03.2024;"Предоплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-02-3-87 от 05.03.2024";117 572 293;
152;15.03.2024;"Оплата ИП DevelopKZ за тренерские услуги, Договор №09-02-3-
5/4 от 20.03.23г.";600 000;
153;15.03.2024;"Оплата ИП Алпысбаев за тренерские услуги, Договор №09-02-3-
5/10 от 20.03.23г.";600 000;
154;15.03.2024;"Оплата ИП Майкаранов БМ за тренерские услуги, Договор №11-
02-6-33  от 29.02.24г.";600 000;
155;15.03.2024;"Оплата ИП Утегенов за тренерские услуги, Договор №11-02-6-34
от 29.02.24г.";600 000;
156;15.03.2024;"Оплата ИП Салетаев за тренерские услуги, Договор №11-02-6-39
от 29.02.24г.";600 000;
157;15.03.2024;"Оплата ИП Капас за тренерские услуги, Договор №11-02-6-25  от
29.02.24г.";600 000;
158;15.03.2024;"Оплата ИП Aibolsyn за тренерские услуги, Договор №11-02-6-23
от 29.02.24г.";600 000;
159;15.03.2024;"Оплата ИП ""ДОС"" за тренерские услуги, Договор №11-02-6-21  от
29.02.24г.";600 000;
160;15.03.2024;"Оплата ИП Төлебай за тренерские услуги, Договор №11-02-6-36
от 29.02.24г.";600 000;
161;15.03.2024;"Оплата ИП Кондратенко за тренерские услуги, Договор №11-02-6-
38  от 29.02.24г.";600 000;
162;15.03.2024;"Оплата ИП ПРНАЗАРОВ за тренерские услуги, Договор №11-02-6-
30  от 29.02.24г.";600 000;
163;15.03.2024;"Оплата ИП MG за тренерские услуги, Договор №11-02-6-26  от
29.02.24г.";600 000;
164;15.03.2024;"Оплата ИП КУБАЕВА АЛИЯ КУБАЕВНА за тренерские услуги,
Договор №11-02-6-22  от 29.02.24г.";600 000;
165;15.03.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Коселуго
(Селуметиниб), Договор №09-02-3-86 от 05.03.24г.";90 981 000;
166;15.03.2024;"Предоплата ТОО ""ОАД-27"" за лекарственное  средство - Эврисди
(Рисдиплам), Договор №09-02-3-88 от 05.03.2024";356 771 096;
167;15.03.2024;"Окончательная оплата 50% ТОО ""INKAR"" за лекарственное
средство - Сатрализумаб (Энспринг), Договор №09-02-3-26 от 20.02.2024г";108 283 500;
168;15.03.2024;"Возмещение за услуги международной автоперевозки груза согласно Договора №09-02-3-9 от 05.04.2022 года (КФ
""ҚАМҚОРЛЫҚ ҚОРЫ"")";2 464 388;
169;19.03.2024;"Оплата ТОО ""ИНТЕРФАРМСЕРВИС"" за лекарственное средство - Этеплирсен (Эксондис 51) , Голодирсен (виондис 53), Договор
№09-02-3-96 от 11.03.24г.";1 148 998 552;
170;19.03.2024;"Оплата ТОО ""ИНТЕРФАРМСЕРВИС"" за лекарственное средство - Касимерсен (Амондис45),Голодирсен (Виондис 53), Договор №09-
02-3-97 от 11.03.24г.";592 856 058;
171;19.03.2024;"Оплата ТОО ""ИНТЕРФАРМСЕРВИС"" за лекарственное средство - Эксондис (Этеплирсен), Договор №09-02-3-95 от 11.03.24г.";323 623 261;
172;19.03.2024;"Окончательная оплата 50% за оборудование в рамках проекта ""QH Аудандык Оңалту орталықтары"" PROLIMPIC SPÓŁKA Z
OGRANICZONĄ, Договоры поставки №09-02-3-6 от 12.01.24";5 291 444;
173;19.03.2024;"Окончательная оплата 70% ТОО ""ROUND KZ"" за оборудование в рамках реализации проекта ""QH 76 детских спортивных залов"", Дог. №11-02-6-13,14,15,16,17,18 от 31.01.2024г.";27 052 900;
174;19.03.2024;"Окончат оплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 45220";4 000 000;
175;19.03.2024;"Окончат оплата 50% ТОО ""Medicare International"" за изготовление
протеза руки для заявителя ID 43643";4 000 000;
176;19.03.2024;"Благотворительная помощь ОФ «Қазақстан халқына» семье погибшего гражданина РК во время трагических событий, произошедших в январе 2022 года и имеющего
несовершеннолетних детей";2 000 000;
177;19.03.2024;"Оплата ТОО ""Казахская фармацевтическая компания ""Медсервис Плюс"" за лекарственное средство - Лонсурф (Трифлуридин+Типирациал), Договор №09-03-121 от 05.10.2023";178 028 500;
178;19.03.2024;"Оплата ТОО ""ИНТЕРФАРМСЕРВИС"" за лекарственное  средство - Касимерсен (Амондис), Договор №09-03-98 от 11.03.2024";265 153 512;
179;19.03.2024;"Оплата ИП Кардоватов за тренерские услуги в рамках реализации проекта ""QH Тұсау кесер, 2 этап расширение до 8 регионов"",
Договор №11-02-6-28  от 29.02.24г.";42 388;
